census_block_group,B12001e1,B12001m1,B12001e2,B12001m2,B12001e3,B12001m3,B12001e4,B12001m4,B12001e5,B12001m5,B12001e6,B12001m6,B12001e7,B12001m7,B12001e8,B12001m8,B12001e9,B12001m9,B12001e10,B12001m10,B12001e11,B12001m11,B12001e12,B12001m12,B12001e13,B12001m13,B12001e14,B12001m14,B12001e15,B12001m15,B12001e16,B12001m16,B12001e17,B12001m17,B12001e18,B12001m18,B12001e19,B12001m19
1001,44749,9134,21393,5286,6448,3499,12485,3503,11825,3431,660,806,182,486,478,686,433,697,2027,1701,23356,5419,5912,3275,12270,3480,11557,3343,713,975,426,761,287,591,2177,1763,2997,2149
1003,174821,37004,84252,21821,23592,13672,47665,13199,44219,12395,3446,4161,1218,2353,2228,3280,2888,3341,10107,7669,90569,22098,19612,11926,47694,13263,43339,12117,4355,4818,2376,3352,1979,2887,9805,7165,13458,8702
1005,20968,4377,11230,2872,4508,1860,4879,1664,4056,1408,823,689,327,461,496,523,374,477,1469,815,9738,2362,2930,1533,4458,1378,3970,1284,488,526,337,431,151,308,1302,810,1048,739
1007,18827,5322,10147,3163,4035,1960,4162,1707,3617,1585,545,569,293,446,252,309,398,453,1552,1275,8680,3051,2316,1664,3880,1569,3479,1521,401,472,223,362,178,334,1224,994,1260,1116
1009,46625,11055,22919,6450,5915,3340,13186,3960,12028,3768,1158,1240,406,728,752,955,1025,1200,2793,2098,23706,6154,3972,2622,14263,4228,13023,4000,1240,1341,454,770,786,985,2667,1921,2804,2063
1011,8514,2702,4712,1732,2364,1291,1956,907,1728,870,228,265,135,211,93,158,31,87,361,386,3802,1347,1587,977,1350,699,1139,586,211,296,146,211,65,167,536,424,329,299
1013,16184,4110,7294,2432,3079,1819,3343,1248,2935,1102,408,524,220,386,188,349,152,265,720,659,8890,2473,2796,1573,3905,1386,3367,1217,538,616,269,391,269,466,1129,776,1060,783
1015,94242,23490,44809,13432,14369,8329,23398,8105,21388,7405,2010,2732,989,1884,1021,1936,1486,2076,5556,4690,49433,13944,12889,7784,24316,8391,21907,7660,2409,2832,1633,2261,776,1740,5598,4209,6630,4888
1017,27796,7308,13205,4306,4546,2784,6595,2577,5722,2354,873,993,333,660,540,767,498,736,1566,1333,14591,4365,4247,2624,6383,2486,5667,2326,716,870,464,685,252,550,1986,1458,1975,1517
1019,21773,5056,10683,2849,2536,1551,6548,2124,6189,2073,359,516,137,334,222,422,466,568,1133,868,11090,2867,1816,1261,6554,2085,6128,2005,426,509,234,399,192,359,1211,863,1509,1070
1021,35414,8954,17289,5297,5230,3205,9057,3142,8433,3036,624,834,115,433,509,760,710,909,2292,1986,18125,5122,3796,2619,9660,3357,8830,3188,830,1073,464,798,366,639,2067,1592,2602,2077
1023,10819,2989,5074,1710,1480,972,2596,989,2393,956,203,336,62,220,141,290,221,316,777,674,5745,1768,1468,915,2906,1110,2205,897,701,616,400,412,301,397,737,583,634,547
1025,19858,5309,9253,2933,3161,2012,4935,1904,4269,1700,666,842,286,523,380,643,345,523,812,831,10605,3468,3423,2290,4751,1856,4136,1625,615,750,418,587,197,436,1245,982,1186,984
1027,11010,3048,5265,1698,1289,890,3165,1171,2856,1082,309,372,122,226,187,296,209,273,602,568,5745,1800,1219,884,3123,1188,2726,1088,397,413,302,374,95,185,731,550,672,567
1029,12117,2498,5917,1493,1538,793,3445,1002,3288,956,157,223,134,209,23,139,237,300,697,493,6200,1426,957,675,3680,1007,3293,931,387,370,248,318,139,257,879,496,684,507
1031,41515,7161,20267,4173,5837,2570,11213,2662,10261,2467,952,886,496,656,456,595,693,687,2524,1537,21248,4232,4370,2217,11744,2753,10437,2528,1307,1103,706,753,601,750,2132,1245,3002,1687
1033,45253,10499,21395,6095,6205,3900,11906,3842,11296,3659,610,1020,240,729,370,832,716,1004,2568,2133,23858,6212,5139,3484,12499,3930,11513,3729,986,1268,610,1003,376,853,2995,2176,3225,2383
1035,10250,2736,4823,1670,1867,1150,2248,986,2017,939,231,304,131,243,100,203,407,465,301,327,5427,1655,1757,1017,2263,1003,1910,896,353,398,179,242,174,304,915,717,492,463
1037,9288,2475,4674,1494,1531,802,2276,933,2096,872,180,246,127,226,53,152,199,286,668,529,4614,1494,1086,807,2409,945,2166,880,243,320,149,248,94,198,659,544,460,454
1039,30468,7144,14466,4168,3741,2309,8124,2616,7483,2413,641,866,261,611,380,690,711,868,1890,1453,16002,4135,3452,2198,8091,2521,7345,2366,746,857,489,715,257,548,2311,1450,2148,1491
1041,11289,1919,5434,1158,1861,837,2737,674,2399,629,338,302,102,149,236,239,193,181,643,425,5855,1146,1460,673,2855,687,2510,631,345,299,219,246,126,177,845,428,695,410
1043,67408,17488,33028,10094,8467,5549,18753,6392,17340,5934,1413,1970,550,1166,863,1550,1055,1569,4753,3664,34380,9761,6388,4815,18899,6451,17184,5958,1715,2100,920,1494,795,1468,4536,3155,4557,3510
1045,39789,9289,19455,5486,5950,3377,10251,3430,9050,3099,1201,1319,238,625,963,1230,643,843,2611,1914,20334,5523,4542,3102,10285,3488,9053,3076,1232,1331,604,899,628,985,2355,1638,3152,2125
1047,31436,8534,14159,4756,5821,3273,6386,2802,5687,2639,699,942,478,817,221,590,562,799,1390,1275,17277,5466,6611,3805,6810,2731,5605,2487,1205,1223,769,934,436,738,1956,1540,1900,1508
1049,56984,15216,27930,8725,7980,5125,15656,5431,14559,5102,1097,1471,490,966,607,1117,870,1247,3424,2714,29054,8537,6236,4338,15930,5422,14484,5061,1446,1712,790,1193,656,1109,3456,2756,3432,2604
1051,66194,14091,31638,7852,9992,4832,16454,4825,15420,4691,1034,1070,322,797,712,846,870,1193,4322,3073,34556,8579,8124,4818,19043,5787,17530,5478,1513,1713,698,1135,815,1174,3339,2583,4050,2797
1053,30194,7145,15394,4360,6228,2980,6754,2429,5885,2152,869,887,352,633,517,620,427,613,1985,1438,14800,4168,4082,2567,6513,2318,5916,2173,597,774,285,515,312,607,2154,1478,2051,1524
