census_block_group,B16004e1,B16004m1,B16004e2,B16004m2,B16004e3,B16004m3,B16004e4,B16004m4,B16004e5,B16004m5,B16004e6,B16004m6,B16004e7,B16004m7,B16004e8,B16004m8,B16004e9,B16004m9,B16004e10,B16004m10,B16004e11,B16004m11,B16004e12,B16004m12,B16004e13,B16004m13,B16004e14,B16004m14,B16004e15,B16004m15,B16004e16,B16004m16,B16004e17,B16004m17,B16004e18,B16004m18,B16004e19,B16004m19,B16004e20,B16004m20,B16004e21,B16004m21,B16004e22,B16004m22,B16004e23,B16004m23,B16004e24,B16004m24,B16004e25,B16004m25,B16004e26,B16004m26,B16004e27,B16004m27,B16004e28,B16004m28,B16004e29,B16004m29,B16004e30,B16004m30,B16004e31,B16004m31,B16004e32,B16004m32,B16004e33,B16004m33,B16004e34,B16004m34,B16004e35,B16004m35,B16004e36,B16004m36,B16004e37,B16004m37,B16004e38,B16004m38,B16004e39,B16004m39,B16004e40,B16004m40,B16004e41,B16004m41,B16004e42,B16004m42,B16004e43,B16004m43,B16004e44,B16004m44,B16004e45,B16004m45,B16004e46,B16004m46,B16004e47,B16004m47,B16004e48,B16004m48,B16004e49,B16004m49,B16004e50,B16004m50,B16004e51,B16004m51,B16004e52,B16004m52,B16004e53,B16004m53,B16004e54,B16004m54,B16004e55,B16004m55,B16004e56,B16004m56,B16004e57,B16004m57,B16004e58,B16004m58,B16004e59,B16004m59,B16004e60,B16004m60,B16004e61,B16004m61,B16004e62,B16004m62,B16004e63,B16004m63,B16004e64,B16004m64,B16004e65,B16004m65,B16004e66,B16004m66,B16004e67,B16004m67
1001,52163,10952,9988,4508,9511,4436,333,745,300,726,10,395,23,405,0,389,31,403,27,406,4,386,0,389,0,389,113,447,86,428,0,389,0,389,27,398,0,389,0,389,0,389,0,389,0,389,33892,8176,32300,8056,894,1272,610,996,113,503,171,559,0,389,66,405,66,405,0,389,0,389,0,389,491,755,254,604,139,474,98,474,0,389,141,553,10,391,40,432,91,497,0,389,8283,3233,8096,3217,129,502,129,502,0,389,0,389,0,389,13,387,6,387,7,389,0,389,0,389,45,400,22,384,14,402,9,392,0,389,0,389,0,389,0,389,0,389,0,389
1003,201141,43494,34546,16631,32605,16000,1445,2593,1166,2356,134,1303,145,1304,0,1150,309,1465,180,1335,73,1207,0,1150,56,1223,187,1353,141,1315,46,1216,0,1150,0,1150,0,1150,0,1150,0,1150,0,1150,0,1150,124064,32007,116184,31128,5436,6249,3201,4462,1273,2430,815,2110,147,1328,1805,2834,1443,2427,308,1498,54,1213,0,1150,582,1798,210,1407,219,1380,153,1343,0,1150,57,1189,57,1189,0,1150,0,1150,0,1150,42531,14592,41481,14380,481,1646,412,1600,37,1183,32,1178,0,1150,475,1483,434,1457,18,1144,23,1164,0,1150,79,1194,67,1187,12,1157,0,1150,0,1150,15,1166,15,1166,0,1150,0,1150,0,1150
1005,24012,5150,3958,2064,3495,1984,435,614,316,517,4,272,96,362,19,292,0,276,0,276,0,276,0,276,0,276,28,295,28,295,0,276,0,276,0,276,0,276,0,276,0,276,0,276,0,276,15344,3812,14174,3676,917,836,553,651,130,347,212,410,22,292,112,318,67,304,0,276,45,290,0,276,98,356,56,312,12,277,30,303,0,276,43,292,31,285,12,278,0,276,0,276,4710,1619,4628,1607,32,272,11,272,8,277,13,275,0,276,50,287,26,283,7,274,17,284,0,276,0,276,0,276,0,276,0,276,0,276,0,276,0,276,0,276,0,276,0,276
1007,21178,6211,3316,2227,3316,2227,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,14278,4522,13898,4458,367,524,102,281,194,370,56,238,15,198,13,177,13,177,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,3584,1906,3477,1875,65,248,55,229,10,187,0,180,0,180,42,219,42,219,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180,0,180
1009,54249,13279,9957,5285,8764,5000,1179,1313,906,1151,192,589,81,500,0,420,9,423,9,423,0,420,0,420,0,420,0,420,0,420,0,420,0,420,0,420,5,417,0,420,0,420,5,417,0,420,33966,9384,30898,8734,2838,2431,1380,1419,711,1002,666,1077,81,487,174,576,174,576,0,420,0,420,0,420,17,423,14,418,3,413,0,420,0,420,39,446,34,438,0,420,5,417,0,420,10326,4095,10152,4054,95,462,30,429,25,431,16,424,24,436,45,443,29,440,16,423,0,420,0,420,31,411,20,405,11,426,0,420,0,420,3,412,3,412,0,420,0,420,0,420
1011,9706,3019,1586,875,1540,864,46,134,32,111,0,84,14,102,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,6480,2337,6226,2294,210,343,146,277,29,121,35,113,0,84,44,120,37,119,7,85,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,1640,763,1610,747,0,84,0,84,0,84,0,84,0,84,14,93,0,84,0,84,14,93,0,84,9,89,9,89,0,84,0,84,0,84,7,85,7,85,0,84,0,84,0,84
1013,18679,4872,3306,1835,3285,1833,0,228,0,228,0,228,0,228,0,228,21,230,21,230,0,228,0,228,0,228,0,228,0,228,0,228,0,228,0,228,0,228,0,228,0,228,0,228,0,228,11473,3490,11339,3472,86,287,66,263,0,228,20,252,0,228,33,245,27,234,6,227,0,228,0,228,15,229,11,223,0,228,4,223,0,228,0,228,0,228,0,228,0,228,0,228,3900,1650,3812,1641,41,236,35,239,0,228,6,225,0,228,33,257,11,224,22,249,0,228,0,228,14,227,6,226,8,229,0,228,0,228,0,228,0,228,0,228,0,228,0,228
1015,108010,27796,18344,10406,17162,10013,1088,2137,1003,2104,34,1122,51,1140,0,1092,38,1120,38,1120,0,1092,0,1092,0,1092,56,1152,49,1151,7,1093,0,1092,0,1092,0,1092,0,1092,0,1092,0,1092,0,1092,69928,20856,66878,20456,2271,3079,1218,2238,368,1397,553,1545,132,1202,304,1311,261,1291,39,1106,4,1086,0,1092,392,1533,186,1284,116,1223,90,1186,0,1092,83,1173,83,1173,0,1092,0,1092,0,1092,19738,8302,19273,8120,206,1314,70,1143,44,1136,60,1186,32,1124,98,1166,80,1160,18,1098,0,1092,0,1092,152,1252,31,1108,88,1189,0,1092,33,1127,9,1095,9,1095,0,1092,0,1092,0,1092
1017,31617,8699,5022,3419,4957,3421,65,415,60,417,5,394,0,396,0,396,0,396,0,396,0,396,0,396,0,396,0,396,0,396,0,396,0,396,0,396,0,396,0,396,0,396,0,396,0,396,20125,6277,19492,6225,320,643,147,511,103,466,70,448,0,396,82,469,47,419,35,446,0,396,0,396,231,595,105,463,120,512,0,396,6,397,0,396,0,396,0,396,0,396,0,396,6470,2827,6399,2813,1,386,1,386,0,396,0,396,0,396,35,397,10,390,0,396,20,403,5,396,35,416,0,396,35,416,0,396,0,396,0,396,0,396,0,396,0,396,0,396
1019,24716,5869,4058,2165,3960,2142,83,291,51,270,6,225,26,246,0,228,0,228,0,228,0,228,0,228,0,228,0,228,0,228,0,228,0,228,0,228,15,249,15,249,0,228,0,228,0,228,14847,4249,14620,4249,183,363,64,290,49,261,70,281,0,228,2,220,2,220,0,228,0,228,0,228,40,269,40,269,0,228,0,228,0,228,2,221,2,221,0,228,0,228,0,228,5811,2314,5756,2303,28,251,8,229,20,250,0,228,0,228,14,241,0,228,0,228,14,241,0,228,13,236,13,236,0,228,0,228,0,228,0,228,0,228,0,228,0,228,0,228
