census_block_group,C02003e1,C02003m1,C02003e2,C02003m2,C02003e3,C02003m3,C02003e4,C02003m4,C02003e5,C02003m5,C02003e6,C02003m6,C02003e7,C02003m7,C02003e8,C02003m8,C02003e9,C02003m9,C02003e10,C02003m10,C02003e11,C02003m11,C02003e12,C02003m12,C02003e13,C02003m13,C02003e14,C02003m14,C02003e15,C02003m15,C02003e16,C02003m16,C02003e17,C02003m17,C02003e18,C02003m18,C02003e19,C02003m19
1001,55380,11815,54182,11663,42527,10560,10538,6372,140,520,573,716,26,406,378,829,1198,1552,14,400,1184,1548,1177,1518,464,879,292,687,264,666,16,391,141,527,21,413,0,389
1003,212830,46655,209241,46229,183471,43025,19718,13323,1645,2945,1969,3169,9,1153,2429,4199,3589,4856,294,1488,3295,4534,3343,4683,552,1818,1555,2994,835,2145,55,1186,346,1536,246,1445,0,1150
1005,25361,5643,25057,5631,11869,3237,12066,4234,82,323,134,394,1,267,905,1057,304,514,34,300,270,487,222,427,25,286,62,296,12,284,77,346,46,308,66,356,16,289
1007,22493,6593,22352,6578,17272,5506,5014,3504,30,230,27,213,0,180,9,186,141,308,0,180,141,308,141,308,80,255,47,217,6,177,0,180,8,185,0,180,0,180
1009,57681,14244,56765,14038,55062,13782,928,1235,46,431,212,565,25,448,492,1069,916,1217,13,416,903,1218,867,1153,179,576,619,975,26,427,0,420,43,441,49,472,0,420
1011,10248,3168,10170,3160,2244,1050,7666,2896,0,84,50,141,0,84,210,377,78,173,0,84,78,173,78,173,0,84,0,84,0,84,0,84,78,173,0,84,0,84
1013,19828,5212,19403,5131,10280,3423,9001,3977,11,221,69,286,0,228,42,269,425,548,91,337,334,439,425,548,201,394,114,263,17,246,2,226,91,337,0,228,0,228
1015,114618,30129,111878,29665,84439,25528,23830,13459,379,1456,1014,2178,14,1097,2202,3183,2740,3665,225,1370,2515,3430,2498,3436,1034,2137,759,1751,289,1413,77,1131,339,1492,118,1227,124,1226
1017,33660,9402,33318,9372,19423,6513,13316,6896,112,496,376,766,0,396,91,506,342,784,0,396,342,784,342,784,224,691,67,461,51,435,0,396,0,396,0,396,0,396
1019,25903,6183,25678,6137,24052,6019,1191,1152,280,483,64,299,0,228,91,328,225,482,0,228,225,482,225,482,118,339,75,337,3,222,0,228,29,266,0,228,0,228
1021,44055,12026,42962,11903,36835,10672,4041,3144,361,740,195,430,0,360,1530,2295,1093,1201,98,456,995,1130,995,1093,501,876,291,417,12,376,93,445,98,456,98,482,0,360
1023,12925,3597,12874,3593,7337,2529,5500,2245,8,159,17,184,0,180,12,183,51,183,0,180,51,183,51,183,9,183,16,172,4,174,15,183,7,180,0,180,0,180
1025,24128,6704,23955,6702,12781,4527,11044,5210,26,288,104,342,0,288,0,288,173,449,0,288,173,449,173,449,109,397,45,316,19,302,0,288,0,288,0,288,0,288
1027,13337,3926,13243,3902,11092,3741,2075,1205,37,207,21,168,0,156,18,164,94,207,0,156,94,207,94,207,82,209,9,159,0,156,3,151,0,156,0,156,0,156
1029,14916,3051,14625,3038,14000,3015,410,409,14,134,3,129,0,132,198,289,291,353,8,130,283,352,291,353,176,293,69,199,23,154,15,143,8,130,0,132,0,132
1031,51662,9417,49932,9241,39118,7970,8733,4194,640,744,745,933,0,396,696,1129,1730,1588,31,387,1699,1585,1646,1547,564,884,499,725,314,631,232,675,37,379,79,455,5,392
1033,54771,13649,53656,13376,43289,11541,8872,5559,319,868,259,697,51,594,866,1495,1115,1698,175,720,940,1534,1017,1549,363,947,288,892,135,613,23,566,208,749,98,677,0,552
