census_block_group,C21007e1,C21007m1,C21007e2,C21007m2,C21007e3,C21007m3,C21007e4,C21007m4,C21007e5,C21007m5,C21007e6,C21007m6,C21007e7,C21007m7,C21007e8,C21007m8,C21007e9,C21007m9,C21007e10,C21007m10,C21007e11,C21007m11,C21007e12,C21007m12,C21007e13,C21007m13,C21007e14,C21007m14,C21007e15,C21007m15,C21007e16,C21007m16,C21007e17,C21007m17,C21007e18,C21007m18,C21007e19,C21007m19,C21007e20,C21007m20,C21007e21,C21007m21,C21007e22,C21007m22,C21007e23,C21007m23,C21007e24,C21007m24,C21007e25,C21007m25,C21007e26,C21007m26,C21007e27,C21007m27,C21007e28,C21007m28,C21007e29,C21007m29,C21007e30,C21007m30,C21007e31,C21007m31
1001,41347,8440,33194,8144,3166,2127,146,531,82,463,64,445,3020,2041,553,775,2467,1836,30028,7788,4432,3098,1520,1456,2912,2388,25596,7330,3104,2287,22492,6788,8153,3217,2083,1424,70,415,53,412,17,392,2013,1391,1045,965,968,964,6070,2671,642,947,425,762,217,543,5428,2535,2381,1701,3047,1840
1003,163811,34902,122016,31695,9185,7193,705,1783,196,1305,509,1635,8480,6888,1371,2271,7109,6261,112831,30242,11811,9582,3011,3806,8800,7762,101020,28607,9726,7423,91294,27261,41795,14541,9988,6257,405,1473,202,1358,203,1270,9583,6017,4076,3859,5507,4406,31807,12428,2685,3428,972,2048,1713,2617,29122,11900,8620,6355,20502,9393
1005,17168,3869,12645,3546,498,528,77,289,45,286,32,279,421,496,88,293,333,427,12147,3453,3408,1921,879,805,2529,1644,8739,2960,1231,823,7508,2785,4523,1553,676,516,69,279,47,291,22,251,607,496,281,350,326,388,3847,1444,689,633,439,501,250,368,3158,1309,1305,781,1853,959
1007,16046,5054,12621,4501,654,683,76,226,17,182,59,222,578,675,150,332,428,567,11967,4409,2077,1730,622,802,1455,1376,9890,4156,1333,1220,8557,3775,3425,1884,705,672,6,178,6,178,0,180,699,671,275,430,424,472,2720,1566,230,345,100,241,130,280,2490,1503,855,792,1635,1148
1009,43828,10322,33723,9369,1590,1411,117,501,28,430,89,491,1473,1328,309,658,1164,1161,32133,9170,4085,3094,1110,1205,2975,2517,28048,8872,2532,1900,25516,8537,10105,4077,1811,1358,77,451,16,417,61,454,1734,1320,789,839,945,967,8294,3598,1028,1244,425,709,603,947,7266,3307,2415,1827,4851,2515
1011,7737,2534,6205,2306,166,204,2,76,2,76,0,84,164,200,46,104,118,185,6039,2292,1482,1078,256,290,1226,992,4557,2132,262,276,4295,2096,1532,707,97,147,13,93,13,93,0,84,84,141,46,108,38,111,1435,682,231,276,73,152,158,210,1204,616,356,301,848,493
1013,15083,3935,11310,3480,376,421,90,290,38,251,52,261,286,354,51,245,235,326,10934,3432,2311,1603,399,477,1912,1451,8623,3064,1133,880,7490,2859,3773,1622,612,475,24,237,0,228,24,237,588,466,330,382,258,305,3161,1492,439,473,189,303,250,383,2722,1416,908,720,1814,1069
1015,86622,21710,67324,20499,5241,4422,518,1459,239,1252,279,1291,4723,4202,1614,2367,3109,3220,62083,19660,11269,8120,3344,3640,7925,6434,50814,18210,7935,6181,42879,16245,19298,8159,4342,3223,163,1153,88,1138,75,1107,4179,3170,2062,2346,2117,2245,14956,6965,1716,2240,1068,1884,648,1471,13240,6627,5659,4348,7581,4651
1017,26179,6858,19902,6248,996,1103,151,511,74,455,77,452,845,1002,166,491,679,903,18906,6011,3082,2480,1150,1301,1932,1745,15824,5573,1962,1604,13862,5303,6277,2759,1097,1049,79,450,44,429,35,417,1018,1025,457,662,561,769,5180,2477,638,811,295,609,343,602,4542,2349,1734,1450,2808,1730
1019,20391,4736,14738,4249,597,646,25,220,25,220,0,228,572,631,70,263,502,608,14141,4053,2121,1481,701,653,1420,1190,12020,3838,1535,1126,10485,3557,5653,2296,1280,929,149,351,38,252,111,327,1131,807,477,458,654,651,4373,1943,470,619,192,359,278,513,3903,1854,1357,994,2546,1530
1021,33091,8386,26175,7965,1173,1221,71,413,18,376,53,397,1102,1185,259,545,843,1000,25002,7820,5082,3970,1569,1721,3513,3046,19920,6986,3292,2571,16628,6139,6916,3288,1334,1211,93,438,51,407,42,391,1241,1155,513,711,728,859,5582,2794,709,946,389,665,320,666,4873,2629,1813,1475,3060,2035
